"SC";"PERSONAS";"MUNI";"EDAD_MEDIA";"ArtSurfA";"Service.area.popacc";"POPDEN.I.SD";"ARTSURF.I.SD";"ROADDEN.I.SD";"SERAREA.I.SD";"UI.N";"DI.N";"SMRe"
"0400101001";1501;4001;44.3;0.000853449;0.352147133;-1.23544478982554;-1.23544478982554;-1.23544478982554;-0.235444789825542;-1.31062771326934;-1.12270390032694;0.848608356304691
"0400201001";1418;4002;42.4;0.000853449;0.436520737;-1.23544478982554;-1.23544478982554;-1.23544478982554;-0.235444789825542;-1.31062771326934;-0.4789244790587;0.864500471394419
"0400301001";2257;4003;35.7;100;0.096776067;0.764555210174458;0.764555210174458;0.764555210174458;0.764555210174458;0.502393647114482;0.506128635289982;1.01877749457771
"0400301002";1186;4003;32.3;55.89001391;0.020965036;-0.235444789825542;-0.235444789825542;0.764555210174458;-0.235444789825542;-0.231233570022587;-1.14997359235206;0.913760939420036
"0400301003";2490;4003;32.3;30.82654577;0.23398381;-0.235444789825542;-0.235444789825542;-0.235444789825542;-0.235444789825542;-0.501833773064949;0.324282520945342;1.00522792424307
"0400301004";1521;4003;33.2;14.98111728;0.001308901;-0.235444789825542;-0.235444789825542;1.76455521017446;-0.235444789825542;0.0393666330197747;-0.493477948307533;1.25944481150817
"0400301005";1416;4003;32.4;85.51630369;0.110584511;-0.235444789825542;-0.235444789825542;-0.235444789825542;-0.235444789825542;-0.501833773064949;-0.566451726739626;1.06971527069487
"0400302001";1365;4003;35.7;54.47552339;0;0.764555210174458;-0.235444789825542;1.76455521017446;-1.23544478982554;0.135580038545948;-0.354611015489235;1.237686110821
"0400302002";1501;4003;37.4;80.08410153;0.000527172;0.764555210174458;-0.235444789825542;1.76455521017446;-0.235444789825542;0.331013518520987;-0.944532278927399;1.30040506073318
"0400302003";1094;4003;35.8;44.44848362;0;0.764555210174458;-0.235444789825542;1.76455521017446;-1.23544478982554;0.135580038545948;-0.981256565159561;1.16250073897374
"0400303001";1270;4003;38.7;70.01125445;0.001038746;0.764555210174458;-0.235444789825542;1.76455521017446;-0.235444789825542;0.331013518520987;-0.114096873335823;1.18494428847346
"0400303002";1287;4003;32.9;18.3888007;0;0.764555210174458;-0.235444789825542;1.76455521017446;-1.23544478982554;0.135580038545948;-0.30913400448898;1.46099386929979
"0400303003";2005;4003;32.5;7.745532522;0.000611949;-0.235444789825542;-1.23544478982554;1.76455521017446;-0.235444789825542;-0.207180218641044;-0.22744878772638;1.18959515613001
"0400304001";815;4003;42.3;0.000853449;0.295513744;-1.23544478982554;-1.23544478982554;-1.23544478982554;-0.235444789825542;-1.31062771326934;-0.927563553079823;1.05088242859849
"0400305001";1872;4003;35.3;0.000853449;0.249489458;-0.235444789825542;-1.23544478982554;-1.23544478982554;-0.235444789825542;-1.01898082776813;-0.893791247135013;1.11851717478097
"0400305002";1904;4003;34.5;0.000853449;1.558404628;-1.23544478982554;-1.23544478982554;-1.23544478982554;-0.235444789825542;-1.31062771326934;-0.927831914924128;1.03965078481108
"0400401001";618;4004;47.6;0.000853449;0;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.50606119324438;-1.64431675278016;0.944644060298118
