Census Tract;Bus stops;Health center;Hospitals;Universities;Bus stations;Faculty;Supermarkets;Open Markets;% of artificial surface;Road density;Total.Area
4109102025;0;0;0;0;0;0;0;0;100;43,6373527;35556,58295
1404202001;0;0;0;0;0;0;0;1;100;27,63050829;69081,43233
1102009003;1;1;0;0;0;0;0;0;0,36451612;205,1616464;236122603
1102006003;0;0;0;0;0;0;0;0;41,71005008;48,7581167;1521581,413
2906902012;0;0;0;0;0;0;0;0;100;44,65080619;44079,51213
490201032;5;1;0;0;0;0;0;0;71,07479594;22,50118612;4372123,217
2906709019;0;0;0;0;0;0;0;0;100;51,66310062;29605,58676
1401002001;2;1;0;0;0;0;0;0;51,99752266;49,89508519;271320,3419
4103401005;2;0;0;0;0;0;0;0;7,554835182;72,06930937;3368172,388
2905401009;0;0;0;0;0;0;0;0;100;32,61563023;61516,51284
1802001002;1;1;0;0;0;0;0;0;0;0;17806416,69
2104101001;0;0;0;0;0;0;0;0;100;24,29198058;65394,8419
1404203004;0;0;0;0;1;0;1;0;74,30681506;30,44365784;203438,1734
1102301001;0;0;0;0;0;0;0;0;64,69574095;55,03843609;85093,11113
2906709043;0;0;0;0;0;0;0;0;100;28,18015173;56307,03637
4107001001;8;1;0;0;0;0;0;0;25,84186623;33,17484673;5470454,489
2303301002;1;0;0;0;0;0;0;0;0;0;27086553,73
2906707023;0;0;0;0;0;0;0;0;100,0000002;20,04668405;17778,79282
4100404018;6;0;0;0;0;0;0;0;91,38174627;20,92060322;1471646,634
2307201002;0;1;0;0;0;0;0;0;26,9624409;115,3989787;249863,1086
1402106022;0;1;2;0;0;0;0;0;100,0000003;27,81371615;384163,1542
407901007;1;0;0;0;0;0;0;1;100;47,64166537;130365,6192
1102701004;0;0;0;0;0;0;0;0;100,000001;28,28348627;164926,3268
4109104108;0;0;0;0;0;0;0;0;100;35,57661791;123770,2315
2906901023;2;0;0;0;0;0;0;0;99,7541945;26,65475995;156405,2845
2906709002;0;0;0;0;0;0;0;0;100;48,76867866;34614,3554
4100404019;1;0;0;0;0;0;0;0;72,37564958;39,43636151;206971,3735
2390401002;2;2;0;0;0;0;0;0;0;0;159827918,3
4103303001;0;0;0;0;0;0;0;0;72,33308287;64,36314795;49840,15669
2990101020;2;0;0;0;0;0;0;0;99,99999989;25,24640234;109972,329
2905102003;0;0;0;0;0;0;0;0;100;30,99357226;73367,23722
1103201011;0;0;0;0;0;0;0;0;100;12,76043312;25810,8163
1101207004;0;0;0;0;0;0;0;0;67,6580614;37,01836953;333885,1041
2905401020;0;0;0;0;0;0;0;0;100;27,88327962;71322,60271
1402110010;0;0;0;0;0;0;0;0;100;32,97484079;41321,02645
2308601003;0;0;0;0;0;0;0;0;94,86127221;33,82460578;70244,32733
1810001004;3;0;0;0;0;0;0;0;0,162230673;3818,092927;21592385,46
4109104051;0;1;0;0;0;0;0;0;100;49,02987466;35442,37485
2104107017;0;0;0;0;0;0;0;0;100,000001;15,13808908;63047,86924
1802001001;3;3;0;0;0;0;0;0;0;0;98890771,78
1404202004;0;0;0;0;0;0;0;0;94,95669621;20,75473028;196105,1146
1102006031;0;0;0;0;0;0;0;0;100;27,69444535;97940,73042
1100403016;0;0;0;0;0;0;0;0;81,57439378;17,91814879;273384,6453
2906702029;0;0;0;0;0;0;0;0;57,75493856;32,41292628;1481815,43
4102101002;2;1;0;0;0;0;0;0;100;27,63005615;139469,0292
2904202002;0;0;0;0;0;0;0;0;86,31407968;34,45706773;116854,6788
2305301002;1;0;0;0;0;0;0;0;61,58350024;42,28135845;197740,0622
4106501001;0;0;0;0;1;0;1;0;99,99999955;28,05174047;319043,9584
4100404016;2;0;0;0;0;0;0;0;100,0000004;27,53048882;82520,90755
2104106001;0;0;0;0;0;0;0;0;99,99999981;33,62037422;56655,30674
2906702045;0;0;0;0;0;0;0;0;99,999996;36,75498629;18449,07614
2104101012;0;0;0;0;0;0;0;0;100;32,53680858;18131,22087
4109101028;0;0;0;0;0;0;0;0;100;27,88614233;40489,78536
1402106037;0;0;0;0;0;0;0;0;59,7727532;42,16939321;82209,98431
1102206005;0;0;0;0;0;0;0;0;1,381287819;1976,132561;77218,84743
2900801003;0;0;0;0;0;0;0;0;99,27931829;25,08894851;169749,1641
1808702017;0;0;0;0;0;0;0;0;100;42,54013331;46210,48092
4101102001;0;0;0;0;0;0;0;0;99,50283836;22,66562005;82512,52786
1102702007;0;0;0;0;0;0;0;0;91,55060587;30,11877974;336720,5339
2904401001;2;1;0;0;0;0;0;0;0;0;6658021,762
2301003004;0;0;0;0;1;0;2;0;99,99999978;28,57815547;228749,3789
1102206003;0;0;0;0;0;0;0;0;27,60635283;109,4582134;116179,1441
4106805001;0;0;0;0;0;0;1;0;49,24453853;17,09334173;977983,3572
2100301001;1;1;0;0;0;0;0;0;0,067692788;606,3006713;171095400,3
4110201001;0;0;0;0;0;0;0;0;91,87387139;32,79677642;120458,3138
1100604003;5;0;0;0;0;0;0;0;1,861205655;71,01911304;80290139,09
4107801001;1;1;0;0;0;0;0;0;86,1798319;25,27343637;228070,2285
2104105012;0;0;0;0;0;0;0;0;100;31,98757252;33570,94928
4109102026;0;0;0;0;0;0;0;0;100;30,15925372;68318,31532
1101901001;3;1;0;0;0;0;0;0;0;0;56309944,58
1100401003;0;1;1;0;0;0;0;0;100;50,77068948;66708,33486
2906711006;0;0;0;0;0;0;0;0;46,59714559;57,0298258;286012,1174
2906501001;1;1;0;0;0;0;0;0;0;0;33661170,6
2906901025;0;0;0;0;0;0;0;0;48,72911203;37,59527867;60424,36843
1100401009;2;0;0;0;0;1;0;0;100;16,99812284;97605,16595
2906901020;0;0;0;0;0;0;0;0;100,0000003;22,43577368;237986,0256
1809501001;8;1;0;0;0;0;0;0;3,853870487;67,28703333;9742341,816
1101001002;0;0;0;0;1;0;0;0;0,428463432;267,9847973;25376696,68
4109104061;1;0;0;0;0;0;0;0;100;23,88988455;124127,0254
1100401015;0;0;0;0;0;0;0;0;100;38,97851666;59312,28679
2301702001;1;1;0;0;0;0;0;0;8,974436613;191,9711252;166316,6242
400303002;0;0;0;0;0;0;0;0;18,3888007;216,8120256;101569,1046
4108301001;3;1;0;0;0;0;0;0;0;0;76605602,44
1808703002;2;0;0;0;0;8;0;0;83,747991;27,07722486;813651,3614
2901101002;3;0;0;0;0;0;0;0;0;0;618475,8658
4109601001;8;0;0;0;0;0;0;0;17,5631081;36,81130297;6490186,503
4107301002;1;1;0;0;0;0;0;0;0,303645629;131,9739803;314200475,1
401306006;0;1;0;0;0;0;0;0;99,99999958;31,09818397;267006,9465
2105202002;0;0;0;0;0;0;0;0;2,574829981;39,74178747;37136868,71
4109103072;0;0;0;0;0;0;0;0;100;35,30145359;15536,41677
2390302001;0;0;0;0;0;0;0;0;38,18673157;32,14100677;318259,4124
2901502002;0;0;0;0;0;0;0;0;99,57933773;28,5892243;146555,0719
4109105014;0;0;0;0;0;0;0;0;100;22,91719719;48493,91137
4109106030;2;1;0;0;0;3;0;0;78,36775584;27,75645366;7354199,691
2104401001;0;0;0;0;0;0;0;0;80,93586233;27,52464193;199314,2026
1808707028;1;0;0;0;0;0;0;0;99,99999807;22,26419096;36555,25719
2906707079;0;0;0;0;0;0;0;0;100;31,75798114;9507,250023
1808707003;1;1;0;0;0;0;0;0;100;51,26870467;34030,80287
2103502001;1;0;0;0;0;0;1;0;0,490120141;296,820692;74837299,49
2906709069;0;0;0;0;0;0;0;0;100;33,77496003;30535,09407
401304001;0;1;0;0;0;0;0;0;100;26,76887399;54127,8434
4109102011;0;0;0;0;0;0;0;0;100;28,00735513;20608,63444
4108102012;36;1;0;0;0;0;1;0;6,930128223;30,3331786;136461411,6
4105901018;5;0;0;0;0;0;0;0;34,20332204;36,82365412;943581,3856
2106501001;1;1;0;0;0;0;0;0;0;0;96842796,05
1406002002;2;1;0;0;0;0;0;0;9,448555414;41,1056729;3305692,481
