"NSS"	"PROV"	"MUNI"	"SECCION"	"PERSONAS"	"VIVIENDAS"	"PERS_VIV"	"PCT_ESTBAJO"	"PCT_ESTALTO"	"PCT_OCUPADOS"	"PCT_PARADOS"	"PCT_CASADOS"	"PCT_SOLTEROS"	"PCT_SITPEMP"	"PCT_SITPASAL"	"PCT_SITPOTROS"	"PCT_TENENPROP"	"PCT_TENENALQ"	"PCT_TENENOTRO"	"HAB_VIV"	"SUT_VIV"	"PCT_2VIV"	"PCT_2VEHIC"	"PCT_EDIFMAL"	"PCT_EDIFBUEN"	"PCT_TNUC1"	"PCT_TNUC2"	"PCT_TNUC3"	"TAM_NUCF"	"MED_HIJOS"	"MED_OCUP"	"MED_PARA"	"PCT_JOVENES"	"PCT_MAYORES"	"TASA_ESTALTO"	"TASA_ESTBAJO"	"EDAD_MEDIA"	"PCT_AGRIC"	"PCT_SERVIC"	"IP_TRABMAN"	"IP_DESEMPLEO"	"IP_TRABEVENT"	"IP_EDBAJO_TOTAL"	"IP_EDBAJO_JOVEN"	"IP_DELINC"	"IP_ASEO"	"IP_RUIDOS"	"IP_CONTAM"	"IP_LIMPIEZA"	"IP_ENVEJECIM"	"IP_EXTRB"	"IP_EXTRECRB"	"IP_HOGMONOP"	"NEDIFIC"	"NNUCLEOS"	"NOCUPADOS"	"NACTIVOS"
287	4	4001	400101001	1501	583	2.6	61.2	9.4	32.5	14.6	57.2	31.2	9.9	36.3	0.3	79.2	7.2	13.6	6.5	101.7	36	12.9	2.1	84	33.2	51.6	15.2	3	1.2	0.8	0.4	13.1	27.3	1.093	1.074	44.3	10.4	66.7	56.8	30.9	49.8	55.4	9.5	2.1	0.9	13.4	3.6	21.4	27.3	1.1	0.7	12	755	407	424	614
288	4	4002	400201001	1418	601	2.4	67.7	4.4	35.2	14.2	60.4	29.2	11.3	35.2	1	78	5.5	16.5	5.3	101.3	8	8.8	0.3	96.3	39.1	52.2	8.7	3	1	0.8	0.4	15.1	23.9	0.512	1.227	42.4	37	37	81.6	28.7	57.8	62	9.3	6.2	2.8	13.5	4	71	23.9	0.6	0.6	5.8	763	381	424	595
289	4	4003	400301001	2257	715	3.2	49.6	13	53.4	3	59.7	31.8	17.9	40.6	3	87.8	7.6	4.6	5.5	101.1	10.2	14.4	0	96.1	20.7	66.3	13.1	3.3	1.5	1.4	0.1	19	11.4	1.367	0.904	35.7	25	60.9	62	5.2	34.1	37.8	16.3	30.8	0.1	50.2	25.2	37.9	11.4	4.9	2.9	10.9	241	605	977	1031
290	4	4003	400301002	1186	356	3.3	59.7	8.3	59.2	5.1	63.8	29.5	15.4	45.3	4.6	90.2	7	2.8	5.4	99.8	11	18.8	0.3	97.5	20.7	70.3	9	3.4	1.5	1.5	0.1	23.3	8	0.892	1.245	32.3	25.7	41.8	55.5	7.9	33.8	47.5	29.9	3.1	0.3	7.6	3.1	29.8	8	2.1	2	8.4	295	323	538	585
291	4	4003	400301003	2490	789	3.2	57.8	7	58.7	4.7	66.2	27.3	18.3	41.8	5.1	84.7	6	9.4	5.3	91.1	5.4	23.6	0	99.9	24.4	66.4	9.2	3.2	1.3	1.5	0.1	21.7	8.5	0.68	1.238	32.3	30.3	52.4	75.9	7.4	32.7	46.2	25	31.9	0	39.4	26.4	38.7	8.5	2	1.4	7.7	244	718	1144	1237
292	4	4003	400301004	1521	495	3.1	67.3	2.6	56.8	6	57.2	32.8	11.4	50.6	2.3	92.3	5.5	2.2	5.1	84.1	4.6	17.4	0.8	96.8	26.1	60.3	13.6	3.2	1.3	1.4	0.1	20.6	9.9	0.276	1.514	33.2	28	47.2	90.2	9.6	48.9	58.8	36.6	10.9	1.8	24.6	9.1	39.2	9.9	2.4	1.8	10.2	286	433	685	758
293	4	4003	400301005	1416	422	3.4	52.1	7.3	56.9	11.5	56.9	34.7	10.9	47.9	3.7	83.2	10.4	6.4	5.4	94.2	7.1	23.9	0.9	92.9	19.1	65.8	15.1	3.4	1.6	1.5	0.3	21.8	7.8	0.763	1.029	32.4	28.7	51.6	71.3	16.8	45	38.8	24.7	2.1	0.7	35.5	2.8	33.9	7.8	4.2	3.6	13.5	146	371	630	758
294	4	4003	400302001	1365	425	3.2	70.1	4.9	51	5.6	55.1	32.6	15	44.8	0.8	89.6	5.9	4.5	5.2	92.1	6.8	19.8	0.2	98.1	21.7	65.1	13.1	3.4	1.6	1.4	0.1	20.3	13.6	0.545	1.456	35.7	29.8	40.6	85.2	9.9	47.2	62.5	34.2	15.8	0.2	28	17.2	30.1	13.6	2.9	1.9	10	406	350	554	616
295	4	4003	400302002	1501	464	3.2	78.9	4.7	51.1	7.8	54	34.9	11.8	47.7	0.6	87.3	5	7.8	4.9	87.3	5.6	9.1	1.5	86.2	23.3	62	14.7	3.3	1.5	1.4	0.2	16.8	13.7	0.504	1.712	37.4	27.4	39.6	87.3	13.2	49.7	74.7	55.7	8	0.4	8.8	13.1	24.1	13.7	3.4	2.7	10.9	486	387	636	735
296	4	4003	400302003	1094	330	3.3	80.6	1.6	54.4	7.5	50.8	37.6	11	50.6	4.4	90.3	3	6.7	5.4	95.5	1.5	12.4	0.3	90.3	21.3	61.3	17.4	3.4	1.6	1.5	0.2	19.3	15.3	0.18	1.775	35.8	29.6	46.3	94.2	12.1	54.8	76	50.7	7.6	0.3	16.1	14.5	7.9	15.3	2.5	2.3	13.5	394	282	480	546
297	4	4003	400303001	1270	401	3.2	71.8	4.3	56.2	3.3	51	36.7	15.9	43.8	9.3	83.3	6.5	10.2	5.5	91.3	4.2	5	0	97.5	21.5	61.2	17.4	3.4	1.5	1.6	0.1	15.7	17	0.466	1.48	38.7	44.5	40.5	85.9	5.5	43.8	66.5	35.9	21.9	0.5	28.9	15.2	40.4	17	4.6	3.3	12	412	317	600	636
298	4	4003	400303002	1287	360	3.6	81.2	1.5	50.3	9.5	59.6	30.6	8.6	45.4	3.8	94.7	1.7	3.6	5.3	98.7	2.5	18.1	9.4	90	17.4	68.3	14.4	3.5	1.7	1.4	0.3	24.5	10.9	0.171	1.843	32.9	42.6	29	91.8	15.8	56.2	75.1	54.9	25	0.3	16.9	23.6	28.9	10.9	0.5	0.1	11.1	383	334	486	581
299	4	4003	400303003	2005	577	3.5	68	4.5	58.7	4.4	63.9	28.9	21	36	8.5	90.8	4.5	4.7	5.5	93.2	4.9	22.7	0	98.6	20.1	69.1	10.9	3.4	1.6	1.5	0.1	24.5	8.3	0.497	1.477	32.5	46.3	39.1	89.5	6.9	37	57.7	28.3	10.1	0.9	40	12	37.6	8.3	3.6	2.7	9	225	543	888	954
300	4	4003	400304001	815	283	2.9	76.3	3.1	53.6	3.8	51.1	37.6	20.3	35.1	14.8	87.3	6	6.7	5.7	115.9	1.1	13.4	1.8	79.5	34.9	50.2	14.9	3.1	1.3	1.5	0.1	12.1	23.1	0.347	1.49	42.3	66.4	24.7	90.1	6.6	22.7	73	47.4	2.1	0.4	3.5	5.3	47.7	23.1	2.2	2.1	12.1	459	215	384	411
