Census Tract;Service area overall;Service area (pop-accounted);Total area;Portion overall;Portion pop-accounted
0406601009;0,390994041;0;3,374398381;11,58707409;0
1100604003;0,125193415;0;80,29013909;0,155926265;0
0400101001;0,982162375;0,352147133;45,20858418;2,172513014;0,778938645
0400201001;2,988210333;0,436520737;83,6106871;3,573957393;0,52208725
0400301001;0,096776063;0,096776067;0,125114112;77,35023786;77,35024126
0400301002;0,020965036;0,020965036;0,196472215;10,67073844;10,67073831
0400301003;0,271805208;0,23398381;0,892714383;30,44705149;26,2103775
0400301004;0,001308901;0,001308901;0,235426447;0,555970299;0,555970243
0400301005;0,110584504;0,110584511;0,280001642;39,49423407;39,49423672
0400302002;0,000527171;0,000527172;0,114207158;0,461591787;0,461592687
0400303001;0,001038747;0,001038746;0,083431017;1,245037248;1,245035969
0400303003;0,00061195;0,000611949;0,42800171;0,142978381;0,142978197
0400304001;2,51649435;0,295513744;72,13189229;3,488740237;0,409685279
0400305001;0,480791891;0,249489458;2,896181491;16,60088957;8,614427602
0400305002;7,006398502;1,558404628;12,26566386;57,12204886;12,70542423
0400701001;0,508798414;0;67,46181974;0,754202031;0
0401001001;0,424700556;0;16,38202222;2,592479429;0
0401101001;5,680182529;1,864716428;26,06904315;21,78899508;7,15299145
0401201001;0,177491971;0;5,868221472;3,024629731;0
0401301001;0,035869624;0,035869624;0,038053692;94,26056258;94,2605621
0401301002;0,039243993;0,039243985;0,165508979;23,71109611;23,71109093
0401301003;0,046465302;0,046465304;0,048802638;95,21063624;95,21063979
0401301004;0,025324801;0,02296568;0,031245133;81,05198771;73,5016245
0401302001;0,065670664;0,065670664;0,065670664;100;100
0401302002;0,047233658;0,047233658;0,047233658;100;100
0401302003;0,051557727;0,051557727;0,051557727;100;100
0401302004;0,066184622;0,066184622;0,066184622;100;100
0401302005;0,060971542;0,060971542;0,060971542;100;100
0401302006;0,085275935;0,085275935;0,089291787;95,50255204;95,50255187
0401303001;0,140124513;0,124837537;0,186039501;75,31976379;67,10270469
0401303002;0,012274165;0,004698377;0,039598028;30,99690965;11,86517915
0401303003;0,149596196;0,012618076;11,41912622;1,310049414;0,110499489
0401303006;0,025773488;0,025773489;0,029511097;87,33490314;87,33490476
0401303007;0,026163281;0,026163282;0,033349139;78,45264325;78,45264423
0401303008;0,063285916;0,060241908;0,184102814;34,37531153;32,72188309
0401303009;1,366842505;0,154087612;5,715271527;23,91561799;2,696068101
0401303010;0,157207632;0,026680084;8,412651378;1,868704946;0,3171424
0401303011;0,061627588;0,059118765;0,083431528;73,86606632;70,85902236
0401304001;0,054127843;0,054127843;0,054127843;100;100
0401304002;0,053711305;0,053711305;0,053711305;100;100
0401304003;0,040947011;0,040947011;0,040947011;100;100
0401304004;0,034380565;0,034380565;0,034380565;100;100
0401304005;0,028248026;0,028248026;0,028248026;100;100
0401304006;0,033906816;0,033906816;0,033906816;100;100
0401304007;0,027821958;0,027821958;0,027821958;100;100
0401305001;0,045816693;0,045816693;0,045816693;100;100
0401305002;0,044881982;0,044881982;0,044881982;100;100
0401305003;1,19672444;0,303297697;7,443882335;16,07661683;4,074455817
0401305004;0,04343154;0,04343154;0,04343154;100;100
0401305005;0,111503578;0,111503579;0,146809839;75,95102514;75,95102605
0401305006;0,051238427;0,051238427;0,051238427;100;100
0401305007;0,039937197;0,039937197;0,039937197;100;100
0401305008;0,034840504;0,034840504;0,034840504;100;100
0401305009;0,029151897;0,029151897;0,029151897;100;100
0401305010;0,036139548;0,036139548;0,036139548;100;100
0401305011;0,273211981;0,156513942;2,246104849;12,16381242;6,968238474
0401306001;0,058724112;0,058724112;0,058724112;100;100
0401306002;0,045621562;0,045621562;0,045621562;100;100
0401306003;0,038426971;0,038426971;0,038426971;100;100
0401306004;0,071110586;0,071110586;0,071110586;100;100
0401306005;0,21983118;0,219831181;0,30653118;71,71576488;71,71576507
0401306007;0,057120682;0,057120679;0,176330738;32,39405858;32,39405654
0401306008;0,344551049;0,344551049;0,344551049;100;100
0401306009;0,035974149;0,035974149;0,035974149;100;100
0401306010;0,04166164;0,04166164;0,04166164;100;100
0401306011;0,060711964;0,060711964;0,060711964;100;100
0401306012;0,024457066;0,024457066;0,024457066;100;100
0401306013;0,050607974;0,050607974;0,050607974;100;100
0401306014;0,03242498;0,03242498;0,03242498;100;100
0401306015;0,045940181;0,045940181;0,045940181;100;100
0401306016;0,14483433;0,14483433;0,14483433;100;100
0401306017;0,068021609;0,068021609;0,068021609;100;100
0401306018;0,156635741;0,156635741;0,156635741;100;100
0401306019;0,691272773;0,182276018;0,791158054;87,37480075;23,03914076
0401306020;0,602274858;0,18056628;0,877901742;68,60390279;20,56793738
0401306021;1,31673865;0,20035769;1,347637703;97,70716915;14,86732597
0401306022;0,039062099;0,034973459;2,363372874;1,6528115;1,479811295
0401306025;0,036237484;0,036237484;0,036237484;100;100
0401306026;0,271359501;0,271359501;0,271359501;100;100
0401306027;0,029914786;0,029914786;0,029914786;100;100
0401306028;0,032006242;0,032006242;0,032006242;100;100
0401306029;0,06020259;0,06020259;0,06020259;100;100
0401306030;0,160027978;0,160027978;0,160027978;100;100
0401306033;0,70716833;0,189781639;2,856143764;24,75954952;6,644680881
0401306034;0,635156385;0,635156384;0,700970286;90,61102838;90,61102825
0401306035;0,251719034;0,105971357;0,251719034;100;42,09906378
0401307001;0,042570033;0,042570033;0,042570033;100;100
0401307002;0,021012152;0,021012152;0,021012152;100;100
0401307003;0,027357528;0,027357528;0,027357528;100;100
0401307004;0,024425644;0,024425644;0,024425644;100;100
0401307005;0,038769267;0,038769267;0,038769267;100;100
0401307006;0,031882709;0,031882709;0,031882709;100;100
0401307007;0,061862234;0,061862234;0,061862234;100;100
0401307008;0,178336491;0,178336491;0,178336491;100;100
0401307010;0,088733181;0,088733181;0,088733181;100;100
0401307011;0,060740241;0,060740241;0,060740241;100;100
0401307012;0,158509346;0,158509346;0,158509346;100;100
0401307013;0,12879881;0,12879881;0,12879881;100;100
0401307014;0,160561573;0,160561573;0,160561573;100;100
0401307015;0,064138296;0,064138296;0,064138296;100;100
0401307016;0,124966387;0,124966387;0,124966387;100;100
0401307017;0,080227136;0,080227136;0,080227136;100;100
0401307018;0,668906839;0,643601363;0,668906839;100;96,21689084
0401307019;0,026104146;0,026104146;0,026104146;100;100
0401307020;1,76566039;0,94650746;1,850979829;95,3905798;51,13548216
0401307021;4,08472615;2,152639695;5,15953108;79,16855401;41,72161504
0401307022;4,470754457;1,907407994;6,658453181;67,14403985;28,64641294
0401307023;0,028868544;0,000992332;2,985554622;0,96694075;0,033237768
0401307024;4,724730421;2,297128274;6,407723131;73,73493399;35,84936843
0401307025;0,059043618;0,059043618;0,059043618;100;100
0401307026;0,024936966;0,024936966;0,024936966;100;100
0401307027;0,031191103;0,031191103;0,031191103;100;100
0401307028;0,035586523;0,035586523;0,035586523;100;100
